month,date,sunrise_UTC-5,sunset_UTC-5
1,1,830,1518
1,2,830,1519
1,3,830,1520
1,4,830,1522
1,5,830,1523
1,6,830,1524
1,7,829,1525
1,8,829,1526
1,9,828,1527
1,10,828,1528
1,11,828,1530
1,12,827,1531
1,13,826,1532
1,14,826,1534
1,15,825,1535
1,16,824,1537
1,17,824,1538
1,18,823,1539
1,19,822,1541
1,20,821,1542
1,21,820,1544
1,22,819,1545
1,23,818,1547
1,24,817,1548
1,25,816,1550
1,26,815,1551
1,27,814,1553
1,28,813,1554
1,29,812,1556
1,30,810,1557
1,31,809,1559
2,1,807,1601
2,2,806,1602
2,3,805,1604
2,4,803,1605
2,5,802,1607
2,6,801,1608
2,7,759,1610
2,8,758,1611
2,9,756,1613
2,10,755,1614
2,11,753,1616
2,12,752,1617
2,13,750,1619
2,14,749,1620
2,15,747,1622
2,16,746,1623
2,17,744,1625
2,18,742,1626
2,19,741,1627
2,20,739,1629
2,21,738,1630
2,22,736,1632
2,23,734,1633
2,24,732,1634
2,25,731,1636
2,26,729,1637
2,27,727,1639
2,28,726,1640
3,1,824,1742
3,2,823,1743
3,3,821,1744
3,4,819,1746
3,5,817,1747
3,6,816,1748
3,7,814,1750
3,8,812,1751
3,9,810,1752
3,10,809,1753
3,11,807,1754
3,12,805,1756
3,13,803,1757
3,14,802,1758
3,15,800,1759
3,16,758,1802
3,17,756,1802
3,18,755,1803
3,19,753,1804
3,20,751,1805
3,21,749,1806
3,22,748,1807
3,23,746,1809
3,24,744,1810
3,25,742,1811
3,26,741,1812
3,27,739,1813
3,28,737,1814
3,29,736,1815
3,30,734,1816
3,31,732,1817
